Params,Error
"[18, 0.8690482528092858, 0.18836698241004518, 0.8775931949172283, 0.6098943689473525, 318.98370112001464, 0.16380110017302613, 0.5248421424561833]",name 'ShortCutDesign' is not defined
"[36, 0.6564694956973354, 0.44698913396795126, 0.5706763417537855, 0.6320485567789966, 307.38008553946514, 0.6597738852137089, 0.2050063502318548]",name 'ShortCutDesign' is not defined
"[13, 0.5264694869411368, 0.8137008400606848, 0.1866498523377245, 0.3543306628047445, 323.12860295014025, 0.8611285735520962, 0.054669206939776796]",name 'ShortCutDesign' is not defined
"[35, 0.7410531158376805, 0.5541551057465023, 0.8570065521160845, 0.46992450354977494, 306.5669429777542, 0.2518130919985973, 0.9414154159783726]",name 'ShortCutDesign' is not defined
"[35, 0.0934917800267697, 0.9835420261196852, 0.20138336995867154, 0.95398421010516, 281.07566552907457, 0.5610633697273882, 0.4812904084981165]",name 'ShortCutDesign' is not defined
"[15, 0.1670411089472493, 0.49351550080298096, 0.5276743195131735, 0.12499629200608794, 300.1946630669282, 0.6909328717597205, 0.7583513079145319]",name 'ShortCutDesign' is not defined
"[30, 0.7689570550367616, 0.5627765217740841, 0.701319393954326, 0.654751912394115, 340.9961852048217, 0.13928307806124082, 0.11241865166783108]",name 'ShortCutDesign' is not defined
"[40, 0.3814209600158239, 0.6403113777829454, 0.6504843149380762, 0.7173866128945433, 316.907925906697, 0.3753746812876261, 0.1810236818188453]",name 'ShortCutDesign' is not defined
"[47, 0.44913083780437874, 0.9785307191494994, 0.4015566640370348, 0.231387345786858, 309.5540264826891, 0.0219961561139292, 0.25683091658815477]",name 'ShortCutDesign' is not defined
"[28, 0.7207902849345158, 0.695545502722952, 0.1853030018254573, 0.39505889684936696, 313.2959697773028, 0.4334362275339937, 0.9899803478953106]",name 'ShortCutDesign' is not defined
"[15, 0.7139770207662954, 0.6121717478501468, 0.4724197026697216, 0.4474086697697617, 334.24267235780513, 0.5539823281807886, 0.48157063062076805]",name 'ShortCutDesign' is not defined
"[16, 0.9778387331134863, 0.8904355154084234, 0.6573113963825206, 0.21383860344570765, 279.71131924263403, 0.8760428024752935, 0.007439949378877802]",name 'ShortCutDesign' is not defined
"[15, 0.028921799737744332, 0.6938502220901687, 0.07967283991817348, 0.9046738219263647, 273.057949819566, 0.6087409673312087, 0.3184731816882535]",name 'ShortCutDesign' is not defined
"[11, 0.5573726770082394, 0.8753066992826851, 0.47524851409149294, 0.08552446881874172, 320.2142502725947, 0.8211237624920839, 0.22496350176612906]",name 'ShortCutDesign' is not defined
"[33, 0.5430385863132902, 0.04682043190651754, 0.2469112309289995, 0.6180986659376476, 345.72666622690974, 0.7142509596038924, 0.6263870382416562]",name 'ShortCutDesign' is not defined
"[27, 0.711174373990909, 0.6879467482682385, 0.6449341425473939, 0.8769491311626333, 284.1821098208457, 0.08761757978031245, 0.8014071650652319]",name 'ShortCutDesign' is not defined
"[34, 0.8042453187092176, 0.27290247983685056, 0.2117367771317623, 0.5015423533515541, 302.68408557178145, 0.8317245317058145, 0.23045496923025838]",name 'ShortCutDesign' is not defined
"[39, 0.4465540294140136, 0.06922647098157185, 0.8602692679407159, 0.6479820608483444, 341.6192510329282, 0.5888575553973843, 0.7979147107381251]",name 'ShortCutDesign' is not defined
"[42, 0.8517532322122955, 0.12730980763581382, 0.35995664507063346, 0.8854785991902412, 286.16209404263645, 0.7058096300453938, 0.7771331184081379]",name 'ShortCutDesign' is not defined
"[39, 0.6442006551437413, 0.729919603099653, 0.9962162596078155, 0.031129136854674267, 275.04764073400156, 0.11459411880860194, 0.15533617602718833]",name 'ShortCutDesign' is not defined
"[19, 0.922741196663478, 0.24837830631042182, 0.5776743685177448, 0.17385458522746028, 325.43566230657706, 0.7265887686944612, 0.7247620497355752]",name 'ShortCutDesign' is not defined
"[32, 0.15623622913852245, 0.13958436258736118, 0.23528372661886998, 0.06874706503049408, 331.55366268961603, 0.11152585321988527, 0.5967495326220498]",name 'ShortCutDesign' is not defined
"[10, 0.09756353851867874, 0.5496873572643328, 0.6300550734267799, 0.3894659500060787, 328.4387912580597, 0.7835919064098323, 0.590222879518728]",name 'ShortCutDesign' is not defined
"[39, 0.44112306105939936, 0.41078045931456364, 0.03703095758397634, 0.49398082091345746, 334.38196746800844, 0.01200781432834687, 0.5317702179830273]",name 'ShortCutDesign' is not defined
"[16, 0.1498923138188292, 0.5682941633812069, 0.38969549222646643, 0.7206882992640241, 286.573883939599, 0.7171752175786259, 0.6625589749260297]",name 'ShortCutDesign' is not defined
"[20, 0.6154281967507693, 0.09511632260590547, 0.4083472737817913, 0.8681230184145974, 347.83879203314694, 0.6868183374301228, 0.8841617528461664]",name 'ShortCutDesign' is not defined
"[14, 0.6206638579459796, 0.9663720654943984, 0.8743733104837416, 0.018422495142050944, 335.07763430042513, 0.07642747901978413, 0.7118298195923523]",name 'ShortCutDesign' is not defined
"[40, 0.5782791042502932, 0.6072861950173101, 0.04421668922013914, 0.057223741545519444, 319.4963619845023, 0.5376260331866267, 0.0972292170336057]",name 'ShortCutDesign' is not defined
"[30, 0.01470473984410046, 0.22759738151485398, 0.8081763223196776, 0.8948488719595228, 333.04928836647326, 0.19179808001106008, 0.47823994788152385]",name 'ShortCutDesign' is not defined
"[39, 0.8595687303119796, 0.4987438829115201, 0.38913154961290136, 0.67276741575705, 291.015194638048, 0.8081548277237577, 0.08655469540872435]",name 'ShortCutDesign' is not defined
