run,total_cost,best_so_far,iterations,use_hyperparameter_bo
1,24.000000000000025,1.5249,104,True
2,49.50000000000017,1.5249,224,True
3,35.90000000000009,1.5249,160,True
4,27.400000000000045,1.5249,120,True
5,37.6000000000001,1.5249,168,True
6,17.199999999999985,1.5249,72,True
7,8.699999999999996,1.5249,32,True
8,29.100000000000055,1.5249,128,True
9,25.700000000000035,1.5249,112,True
10,8.699999999999996,1.5249,32,True
11,50.00000000000018,1.5249,229,True
12,41.00000000000012,1.5249,184,True
13,24.000000000000025,1.5249,104,True
14,44.40000000000014,1.5249,200,True
15,34.20000000000008,1.5249,152,True
16,39.30000000000011,1.5249,176,True
17,50.00000000000018,1.5456,229,True
18,32.50000000000007,1.5249,144,True
19,30.800000000000065,1.5249,136,True
20,18.899999999999995,1.5249,80,True
21,8.699999999999996,1.5249,32,True
22,24.000000000000025,1.5249,104,True
23,44.40000000000014,1.5249,200,True
24,34.20000000000008,1.5249,152,True
25,35.90000000000009,1.5249,160,True
26,15.499999999999986,1.5249,64,True
27,6.999999999999997,1.5249,24,True
28,50.00000000000018,1.5456,229,True
29,24.000000000000025,1.5249,104,True
30,12.09999999999999,1.5249,48,True
31,34.20000000000008,1.5249,152,True
32,8.699999999999996,1.5249,32,True
33,29.100000000000055,1.5249,128,True
34,29.100000000000055,1.5249,128,True
35,29.100000000000055,1.5249,128,True
36,30.800000000000065,1.5249,136,True
37,39.30000000000011,1.5249,176,True
38,35.90000000000009,1.5249,160,True
39,42.70000000000013,1.5249,192,True
40,39.30000000000011,1.5249,176,True
41,30.800000000000065,1.5249,136,True
42,46.10000000000015,1.5249,208,True
43,22.300000000000015,1.5249,96,True
44,37.6000000000001,1.5249,168,True
45,30.800000000000065,1.5249,136,True
46,37.6000000000001,1.5249,168,True
47,35.90000000000009,1.5249,160,True
48,30.800000000000065,1.5249,136,True
49,35.90000000000009,1.5249,160,True
50,39.30000000000011,1.5249,176,True
51,29.100000000000055,1.5249,128,True
52,34.20000000000008,1.5249,152,True
53,18.899999999999995,1.5249,80,True
54,29.100000000000055,1.5249,128,True
55,35.90000000000009,1.5249,160,True
56,32.50000000000007,1.5249,144,True
57,47.80000000000016,1.5249,216,True
58,13.799999999999988,1.5249,56,True
59,24.000000000000025,1.5249,104,True
60,30.800000000000065,1.5249,136,True
61,37.6000000000001,1.5249,168,True
62,34.20000000000008,1.5249,152,True
63,50.00000000000018,1.5456,229,True
64,37.6000000000001,1.5249,168,True
65,34.20000000000008,1.5249,152,True
66,30.800000000000065,1.5249,136,True
67,18.899999999999995,1.5249,80,True
68,24.000000000000025,1.5249,104,True
69,41.00000000000012,1.5249,184,True
70,13.799999999999988,1.5249,56,True
71,24.000000000000025,1.5249,104,True
72,46.10000000000015,1.5249,208,True
73,30.800000000000065,1.5249,136,True
74,17.199999999999985,1.5249,72,True
75,6.999999999999998,1.5249,24,True
76,35.90000000000009,1.5249,160,True
77,27.400000000000045,1.5249,120,True
78,24.000000000000025,1.5249,104,True
79,30.800000000000065,1.5249,136,True
80,10.399999999999993,1.5249,40,True
81,24.000000000000025,1.5249,104,True
82,37.6000000000001,1.5249,168,True
83,39.30000000000011,1.5249,176,True
84,15.499999999999986,1.5249,64,True
85,34.20000000000008,1.5249,152,True
86,25.700000000000035,1.5249,112,True
87,42.70000000000013,1.5249,192,True
88,15.499999999999986,1.5249,64,True
89,42.70000000000013,1.5249,192,True
90,17.199999999999985,1.5249,72,True
91,44.40000000000014,1.5249,200,True
92,37.6000000000001,1.5249,168,True
93,24.000000000000025,1.5249,104,True
94,39.30000000000011,1.5249,176,True
95,34.20000000000008,1.5249,152,True
96,22.300000000000015,1.5249,96,True
97,32.50000000000007,1.5249,144,True
98,32.50000000000007,1.5249,144,True
99,24.000000000000025,1.5249,104,True
100,10.399999999999993,1.5249,40,True
