run,total_cost,best_so_far,iterations,model_type
1,50.00000000000018,1.5456,229,DNGO-OL
2,50.00000000000018,1.5456,229,DNGO-OL
3,24.000000000000025,1.5249,104,DNGO-OL
4,50.00000000000018,1.5618,229,DNGO-OL
5,29.100000000000055,1.5249,128,DNGO-OL
6,50.00000000000018,1.5618,229,DNGO-OL
7,27.400000000000045,1.5249,120,DNGO-OL
8,50.00000000000018,1.5849,229,DNGO-OL
9,50.00000000000018,1.5456,229,DNGO-OL
10,27.400000000000045,1.5249,120,DNGO-OL
11,50.00000000000018,1.5249,229,DNGO-OL
12,50.00000000000018,1.844,229,DNGO-OL
13,50.00000000000018,1.844,229,DNGO-OL
14,50.00000000000018,1.5456,229,DNGO-OL
15,50.00000000000018,1.844,229,DNGO-OL
16,41.00000000000012,1.5249,184,DNGO-OL
17,20.600000000000005,1.5249,88,DNGO-OL
18,37.6000000000001,1.5249,168,DNGO-OL
19,42.70000000000013,1.5249,192,DNGO-OL
20,50.00000000000018,1.844,229,DNGO-OL
21,50.00000000000018,1.844,229,DNGO-OL
22,50.00000000000018,1.5456,229,DNGO-OL
23,50.00000000000018,1.7999,229,DNGO-OL
24,50.00000000000018,1.5456,229,DNGO-OL
25,50.00000000000018,1.5456,229,DNGO-OL
26,50.00000000000018,1.5456,229,DNGO-OL
27,39.30000000000011,1.5249,176,DNGO-OL
28,34.20000000000008,1.5249,152,DNGO-OL
29,50.00000000000018,1.8386,229,DNGO-OL
30,50.00000000000018,1.5456,229,DNGO-OL
31,50.00000000000018,1.8829,229,DNGO-OL
32,50.00000000000018,1.8386,229,DNGO-OL
33,50.00000000000018,1.5849,229,DNGO-OL
34,50.00000000000018,1.7999,229,DNGO-OL
35,47.80000000000016,1.5249,216,DNGO-OL
36,17.199999999999985,1.5249,72,DNGO-OL
37,27.400000000000045,1.5249,120,DNGO-OL
38,44.40000000000014,1.5249,200,DNGO-OL
39,39.30000000000011,1.5249,176,DNGO-OL
40,50.00000000000018,1.5456,229,DNGO-OL
41,50.00000000000018,1.844,229,DNGO-OL
42,35.90000000000009,1.5249,160,DNGO-OL
43,50.00000000000018,1.844,229,DNGO-OL
44,24.000000000000025,1.5249,104,DNGO-OL
45,41.00000000000012,1.5249,184,DNGO-OL
46,42.70000000000013,1.5249,192,DNGO-OL
47,49.50000000000017,1.5249,224,DNGO-OL
48,50.00000000000018,1.844,229,DNGO-OL
49,50.00000000000018,1.8829,229,DNGO-OL
50,50.00000000000018,1.5618,229,DNGO-OL
51,50.00000000000018,1.5849,229,DNGO-OL
52,42.70000000000013,1.5249,192,DNGO-OL
53,50.00000000000018,1.5456,229,DNGO-OL
54,50.00000000000018,1.5618,229,DNGO-OL
55,50.00000000000018,1.5456,229,DNGO-OL
56,32.50000000000007,1.5249,144,DNGO-OL
57,50.00000000000018,1.844,229,DNGO-OL
58,50.00000000000018,1.5849,229,DNGO-OL
59,50.00000000000018,1.7999,229,DNGO-OL
60,50.00000000000018,1.5618,229,DNGO-OL
61,50.00000000000018,1.844,229,DNGO-OL
62,50.00000000000018,1.844,229,DNGO-OL
63,37.6000000000001,1.5249,168,DNGO-OL
64,50.00000000000018,1.8386,229,DNGO-OL
65,50.00000000000018,1.5456,229,DNGO-OL
66,50.00000000000018,1.5456,229,DNGO-OL
67,25.700000000000035,1.5249,112,DNGO-OL
68,32.50000000000007,1.5249,144,DNGO-OL
69,41.00000000000012,1.5249,184,DNGO-OL
70,50.00000000000018,1.5456,229,DNGO-OL
71,47.80000000000016,1.5249,216,DNGO-OL
72,46.10000000000015,1.5249,208,DNGO-OL
73,37.6000000000001,1.5249,168,DNGO-OL
74,42.70000000000013,1.5249,192,DNGO-OL
75,42.70000000000013,1.5249,192,DNGO-OL
76,50.00000000000018,1.5849,229,DNGO-OL
77,20.600000000000005,1.5249,88,DNGO-OL
78,47.80000000000016,1.5249,216,DNGO-OL
79,50.00000000000018,1.844,229,DNGO-OL
80,50.00000000000018,1.844,229,DNGO-OL
81,41.00000000000012,1.5249,184,DNGO-OL
82,50.00000000000018,1.5849,229,DNGO-OL
83,46.10000000000015,1.5249,208,DNGO-OL
84,50.00000000000018,1.7999,229,DNGO-OL
85,29.100000000000055,1.5249,128,DNGO-OL
86,50.00000000000018,1.7999,229,DNGO-OL
87,50.00000000000018,1.844,229,DNGO-OL
88,46.10000000000015,1.5249,208,DNGO-OL
89,47.80000000000016,1.5249,216,DNGO-OL
90,15.499999999999986,1.5249,64,DNGO-OL
91,44.40000000000014,1.5249,200,DNGO-OL
92,50.00000000000018,1.844,229,DNGO-OL
93,27.400000000000045,1.5249,120,DNGO-OL
94,50.00000000000018,1.844,229,DNGO-OL
95,50.00000000000018,1.5849,229,DNGO-OL
96,49.50000000000017,1.5249,224,DNGO-OL
97,20.600000000000005,1.5249,88,DNGO-OL
98,39.30000000000011,1.5249,176,DNGO-OL
99,34.20000000000008,1.5249,152,DNGO-OL
100,30.800000000000065,1.5249,136,DNGO-OL
