iteration,pretrain_hidden_layers,pretrain_hidden_dim,pretrain_learning_rate,pretrain_epochs,finetune_hidden_layers,finetune_hidden_dim,finetune_learning_rate,finetune_epochs
1,3,32,0.0001,35,3,16,0.005,198
2,3,64,0.01,133,2,128,0.001,38
3,3,128,0.0005,176,3,32,0.01,123
4,2,32,0.001,165,3,128,0.01,188
5,2,32,0.01,132,2,64,0.01,107
6,3,32,0.0005,196,2,32,0.005,81
7,2,128,0.005,176,3,64,0.01,153
8,1,32,0.005,31,1,16,0.005,164
9,1,128,0.01,101,1,16,0.005,161
10,2,32,0.001,126,1,32,0.01,91
11,2,32,0.005,119,2,32,0.001,109
12,3,32,0.001,185,3,16,0.01,160
13,1,16,0.0005,125,3,64,0.01,29
14,3,32,0.01,104,1,32,0.001,184
