fold,seed,mfgp_rmse,mfgp_r2,dngo_base_rmse,dngo_base_r2,joint_best_rmse,joint_best_r2,gradient_scaling_rmse,gradient_scaling_r2,pretrain_base_rmse,pretrain_base_r2
1,42,1.2852579984471943,-0.25459723933473133,3.24285059461948,-6.986887689319097,0.48416188,0.8219652026891708,0.4746339,0.828903466463089,0.46551798624509944,0.7501934768660722
2,123,0.7784122561326716,0.5371772064769444,0.6611350749787918,0.6661312237802813,0.5380023,0.7789127677679062,0.55597794,0.7638920843601227,0.4619536464371402,0.752650390088757
3,456,0.7846232020538266,0.5117612473999464,0.885737798449544,0.37781389041238167,0.5701855,0.7421647608280182,0.57866144,0.7344422340393066,0.4690904202726894,0.7347967642972091
4,789,0.8854517315338393,0.39325118227777356,0.6332384302098204,0.6896772016502424,0.6182019,0.704239696264267,0.5810795,0.7386934757232666,0.4627363164908784,0.7473752249411003
5,1011,0.7686156252173166,0.5490211269333749,0.7564876472447256,0.5631408257004415,0.56332636,0.7577532380819321,0.5519001,0.7674808651208878,0.4850421398336456,0.727675248901158
6,1213,0.6767455348271739,0.6482614024959275,0.6911940030847069,0.6330818859441676,0.47397396,0.8274646103382111,0.48705813,0.8178073465824127,0.45177825818288675,0.7613992891048789
7,1415,1.1102244822989953,0.07349909159059798,1.1116616385336189,0.07109887723556041,0.55297506,0.7701548486948013,0.54255766,0.7787332832813263,0.4776280551884213,0.7392234476275459
8,1617,1.1064424903288697,0.06263826715695264,0.7611046782779745,0.5564543629484031,0.5358996,0.7801044881343842,0.5284452,0.7861794531345367,0.4651130510341759,0.7487238426417253
9,1819,0.7040840925892,0.6108442320189086,0.7724860297954231,0.5315581632088382,0.49748805,0.8057148158550262,0.48045948,0.8187875896692276,0.4756901296537307,0.7283539324294044
10,2021,0.7197357745665007,0.6004220935768411,0.7003070497920029,0.621703534267981,0.49144933,0.8137000203132629,0.56105864,0.7571870684623718,0.49047831793195373,0.7189435305041303
