Model,R2_Mean,R2_Std,RMSE_Mean,RMSE_Std
Pseudo-Labeling,0.7939,0.0375,0.5152,0.0469
DNGO-Joint,0.780217444896698,0.038836702470633255,0.532566394,0.04576407978122171
DNGO-Gradient,0.7792106866836548,0.03346199199441429,0.534183199,0.04006238325354276
Sequential,0.7747151359915734,0.036818290129368374,0.5394600820000001,0.04483716983246348
Domain Adaptation (MMD),0.769,0.0341,0.5465,0.0424
Progressive,0.748788446187973,0.05888170558330752,0.56777744,0.06497053806251432
Knowledge Distillation,0.7431,0.0384,0.576,0.0459
Soft Parameter Sharing,0.7414,0.0458,0.5775,0.0536
Curriculum,0.7380829587578773,0.03946958489040579,0.581780433,0.04342872875174168
Two-Stage Joint,0.7112222790718079,0.05065006248576842,0.610518642,0.05390179366091175
Adapter,0.6616,0.1482,0.6497,0.1368
MFGP,0.37322786105925354,0.30578948612803275,0.8819593187995587,0.21036253873825786
