fold,seed,old_prog_r2,new_prog_r2,new_prog_rmse,dngo_r2,mfgp_r2,improvement
1,42,-3.028901499458845,-2.5907878147948695,2.1743678743058785,-2.094338382136437,-0.2545972393347313,0.43811368466397527
2,123,0.7476255235359428,0.7127275168739902,0.6132665960718505,0.7590232327481292,0.5371772064769444,-0.03489800666195264
3,456,0.6627837606481071,0.6602105157744302,0.654560795431149,0.6430045462687359,0.5117612473999464,-0.0025732448736768276
4,789,0.6501401782205911,0.6628493957741941,0.660043248913638,0.6702487715077055,0.3932511822777735,0.012709217553602992
5,1011,0.499501367663248,0.4665458160645666,0.8359487897092794,0.4912108851167324,0.5490211269333749,-0.03295555159868141
6,1213,0.6450612245478183,0.6251457957046558,0.698628950271188,0.6251305164218925,0.6482614024959275,-0.019915428843162553
7,1415,0.7332245752285715,0.7052928110056846,0.6261570003449082,0.7605551235029255,0.0734990915905979,-0.0279317642228869
8,1617,0.5414731204289776,0.5402828744213244,0.7748552445711773,0.6694695943492234,0.0626382671569526,-0.0011902460076531618
9,1819,0.7307999816619055,0.6642536864872229,0.6539859570461983,0.7617201156317195,0.6108442320189086,-0.06654629517468258
10,2021,0.6524399734704546,0.6359768691424558,0.686968536548521,0.7022890375523521,0.6004220935768411,-0.0164631043279988
