organic,cation,anion,organic_label,cation_label,anion_label
ethylammonium,Ge,F,1,1,1
ethylammonium,Ge,Cl,1,1,2
ethylammonium,Ge,Br,1,1,3
ethylammonium,Ge,I,1,1,4
ethylammonium,Sn,F,1,2,1
ethylammonium,Sn,Cl,1,2,2
ethylammonium,Sn,Br,1,2,3
ethylammonium,Sn,I,1,2,4
ethylammonium,Pb,F,1,3,1
ethylammonium,Pb,Cl,1,3,2
ethylammonium,Pb,Br,1,3,3
ethylammonium,Pb,I,1,3,4
propylammonium,Ge,F,2,1,1
propylammonium,Ge,Cl,2,1,2
propylammonium,Ge,Br,2,1,3
propylammonium,Ge,I,2,1,4
propylammonium,Sn,F,2,2,1
propylammonium,Sn,Cl,2,2,2
propylammonium,Sn,Br,2,2,3
propylammonium,Sn,I,2,2,4
propylammonium,Pb,F,2,3,1
propylammonium,Pb,Cl,2,3,2
propylammonium,Pb,Br,2,3,3
propylammonium,Pb,I,2,3,4
butylammonium,Ge,F,3,1,1
butylammonium,Ge,Cl,3,1,2
butylammonium,Ge,Br,3,1,3
butylammonium,Ge,I,3,1,4
butylammonium,Sn,F,3,2,1
butylammonium,Sn,Cl,3,2,2
butylammonium,Sn,Br,3,2,3
butylammonium,Sn,I,3,2,4
butylammonium,Pb,F,3,3,1
butylammonium,Pb,Cl,3,3,2
butylammonium,Pb,Br,3,3,3
butylammonium,Pb,I,3,3,4
isopropylammonium,Ge,F,4,1,1
isopropylammonium,Ge,Cl,4,1,2
isopropylammonium,Ge,Br,4,1,3
isopropylammonium,Ge,I,4,1,4
isopropylammonium,Sn,F,4,2,1
isopropylammonium,Sn,Cl,4,2,2
isopropylammonium,Sn,Br,4,2,3
isopropylammonium,Sn,I,4,2,4
isopropylammonium,Pb,F,4,3,1
isopropylammonium,Pb,Cl,4,3,2
isopropylammonium,Pb,Br,4,3,3
isopropylammonium,Pb,I,4,3,4
dimethylammonium,Ge,F,5,1,1
dimethylammonium,Ge,Cl,5,1,2
dimethylammonium,Ge,Br,5,1,3
dimethylammonium,Ge,I,5,1,4
dimethylammonium,Sn,F,5,2,1
dimethylammonium,Sn,Cl,5,2,2
dimethylammonium,Sn,Br,5,2,3
dimethylammonium,Sn,I,5,2,4
dimethylammonium,Pb,F,5,3,1
dimethylammonium,Pb,Cl,5,3,2
dimethylammonium,Pb,Br,5,3,3
dimethylammonium,Pb,I,5,3,4
acetamidinium,Ge,F,6,1,1
acetamidinium,Ge,Cl,6,1,2
acetamidinium,Ge,Br,6,1,3
acetamidinium,Ge,I,6,1,4
acetamidinium,Sn,F,6,2,1
acetamidinium,Sn,Cl,6,2,2
acetamidinium,Sn,Br,6,2,3
acetamidinium,Sn,I,6,2,4
acetamidinium,Pb,F,6,3,1
acetamidinium,Pb,Cl,6,3,2
acetamidinium,Pb,Br,6,3,3
acetamidinium,Pb,I,6,3,4
methylammonium,Ge,F,7,1,1
methylammonium,Ge,Cl,7,1,2
methylammonium,Ge,Br,7,1,3
methylammonium,Ge,I,7,1,4
methylammonium,Sn,F,7,2,1
methylammonium,Sn,Cl,7,2,2
methylammonium,Sn,Br,7,2,3
methylammonium,Sn,I,7,2,4
methylammonium,Pb,F,7,3,1
methylammonium,Pb,Cl,7,3,2
methylammonium,Pb,Br,7,3,3
methylammonium,Pb,I,7,3,4
